time,latitude,longitude,depth,thetao
2024-01-01,-9.5,132.25,0.494025,31.293055
2024-01-01,-9.5,132.33334,0.494025,31.31317
2024-01-01,-9.5,132.41669,0.494025,31.360682
2024-01-01,-9.5,132.5,0.494025,31.374733
2024-01-01,-9.5,132.58334,0.494025,31.38131
2024-01-01,-9.5,132.66669,0.494025,31.38257
2024-01-01,-9.5,132.75,0.494025,31.36978
2024-01-01,-9.5,132.83334,0.494025,31.359337
2024-01-01,-9.5,132.91669,0.494025,31.358847
2024-01-01,-9.5,133.0,0.494025,31.350916
2024-01-01,-9.5,133.08334,0.494025,31.355867
2024-01-01,-9.5,133.16669,0.494025,31.37315
2024-01-01,-9.5,133.25,0.494025,31.374676
2024-01-01,-9.5,133.33334,0.494025,31.363085
2024-01-01,-9.5,133.41669,0.494025,31.411547
2024-01-01,-9.5,133.5,0.494025,31.455345
2024-01-01,-9.416664,122.5,0.494025,30.500727
2024-01-01,-9.416664,122.58334,0.494025,30.440699
2024-01-01,-9.416664,122.66669,0.494025,30.378721
2024-01-01,-9.416664,122.75,0.494025,30.334917
2024-01-01,-9.416664,122.83334,0.494025,30.32679
2024-01-01,-9.416664,122.91669,0.494025,30.32078
2024-01-01,-9.416664,123.0,0.494025,30.26841
2024-01-01,-9.416664,123.08334,0.494025,30.170238
2024-01-01,-9.416664,123.16669,0.494025,30.10247
2024-01-01,-9.416664,123.25,0.494025,30.12975
2024-01-01,-9.416664,123.33334,0.494025,30.251375
2024-01-01,-9.416664,123.41669,0.494025,30.402994
2024-01-01,-9.416664,123.5,0.494025,30.480206
2024-01-01,-9.416664,123.58334,0.494025,30.608786
2024-01-01,-9.416664,123.66669,0.494025,30.728203
2024-01-01,-9.416664,123.75,0.494025,30.686928
2024-01-01,-9.416664,123.83334,0.494025,30.550953
2024-01-01,-9.416664,123.91669,0.494025,30.463696
2024-01-01,-9.416664,125.08334,0.494025,31.644089
2024-01-01,-9.416664,125.16669,0.494025,31.649637
2024-01-01,-9.416664,125.25,0.494025,31.548172
2024-01-01,-9.416664,125.33334,0.494025,31.452194
2024-01-01,-9.416664,125.41669,0.494025,31.332329
2024-01-01,-9.416664,125.5,0.494025,31.379848
2024-01-01,-9.416664,125.58334,0.494025,31.417408
2024-01-01,-9.416664,125.66669,0.494025,31.38365
2024-01-01,-9.416664,125.75,0.494025,31.307175
2024-01-01,-9.416664,125.83334,0.494025,31.299442
2024-01-01,-9.416664,125.91669,0.494025,31.219732
2024-01-01,-9.416664,126.0,0.494025,31.279692
2024-01-01,-9.416664,126.08334,0.494025,31.308949
2024-01-01,-9.416664,126.16669,0.494025,31.30378
2024-01-01,-9.416664,126.25,0.494025,31.332167
2024-01-01,-9.416664,126.33334,0.494025,31.294872
2024-01-01,-9.416664,126.41669,0.494025,31.355085
2024-01-01,-9.416664,126.5,0.494025,31.33609
2024-01-01,-9.416664,126.58334,0.494025,31.327942
2024-01-01,-9.416664,126.66669,0.494025,31.309639
2024-01-01,-9.416664,126.75,0.494025,31.277552
2024-01-01,-9.416664,126.83334,0.494025,31.25669
2024-01-01,-9.416664,126.91669,0.494025,31.22594
2024-01-01,-9.416664,127.0,0.494025,31.217224
2024-01-01,-9.416664,127.08334,0.494025,31.225927
2024-01-01,-9.416664,127.16669,0.494025,31.212254
2024-01-01,-9.416664,127.25,0.494025,31.193012
2024-01-01,-9.416664,127.33334,0.494025,31.191164
2024-01-01,-9.416664,127.41669,0.494025,31.19905
2024-01-01,-9.416664,127.5,0.494025,31.20058
2024-01-01,-9.416664,127.58334,0.494025,31.217546
2024-01-01,-9.416664,127.66669,0.494025,31.23819
2024-01-01,-9.416664,127.75,0.494025,31.237047
2024-01-01,-9.416664,127.83334,0.494025,31.22051
2024-01-01,-9.416664,127.91669,0.494025,31.210562
2024-01-01,-9.416664,128.0,0.494025,31.194502
2024-01-01,-9.416664,128.08334,0.494025,31.167587
2024-01-01,-9.416664,128.16669,0.494025,31.148283
2024-01-01,-9.416664,128.25,0.494025,31.148365
2024-01-01,-9.416664,128.33334,0.494025,31.135427
2024-01-01,-9.416664,128.41669,0.494025,31.117582
2024-01-01,-9.416664,128.5,0.494025,31.123896
2024-01-01,-9.416664,128.58334,0.494025,31.146252
2024-01-01,-9.416664,128.66669,0.494025,31.174393
2024-01-01,-9.416664,128.75,0.494025,31.178984
2024-01-01,-9.416664,128.83334,0.494025,31.21176
2024-01-01,-9.416664,128.91669,0.494025,31.219482
2024-01-01,-9.416664,129.0,0.494025,31.225332
2024-01-01,-9.416664,129.08334,0.494025,31.272865
2024-01-01,-9.416664,129.16669,0.494025,31.31979
2024-01-01,-9.416664,129.25,0.494025,31.353182
2024-01-01,-9.416664,129.33334,0.494025,31.38256
2024-01-01,-9.416664,129.41669,0.494025,31.406132
2024-01-01,-9.416664,129.5,0.494025,31.420618
2024-01-01,-9.416664,129.58334,0.494025,31.43768
2024-01-01,-9.416664,129.66669,0.494025,31.467072
2024-01-01,-9.416664,129.75,0.494025,31.48112
2024-01-01,-9.416664,129.83334,0.494025,31.46575
2024-01-01,-9.416664,129.91669,0.494025,31.46028
2024-01-01,-9.416664,130.0,0.494025,31.467966
2024-01-01,-9.416664,130.08334,0.494025,31.46834
2024-01-01,-9.416664,130.16669,0.494025,31.470095
2024-01-01,-9.416664,130.25,0.494025,31.488552
2024-01-01,-9.416664,130.33334,0.494025,31.501081
2024-01-01,-9.416664,130.41669,0.494025,31.507317
2024-01-01,-9.416664,130.5,0.494025,31.502745
2024-01-01,-9.416664,130.58334,0.494025,31.492817
2024-01-01,-9.416664,130.66669,0.494025,31.473871
2024-01-01,-9.416664,130.75,0.494025,31.47055
2024-01-01,-9.416664,130.83334,0.494025,31.470114
2024-01-01,-9.416664,130.91669,0.494025,31.477356
2024-01-01,-9.416664,131.0,0.494025,31.497135
2024-01-01,-9.416664,131.08334,0.494025,31.50302
2024-01-01,-9.416664,131.16669,0.494025,31.480196
2024-01-01,-9.416664,131.25,0.494025,31.452057
2024-01-01,-9.416664,131.33334,0.494025,31.44161
2024-01-01,-9.416664,131.41669,0.494025,31.448292
2024-01-01,-9.416664,131.5,0.494025,31.429008
2024-01-01,-9.416664,131.58334,0.494025,31.42241
2024-01-01,-9.416664,131.66669,0.494025,31.427734
2024-01-01,-9.416664,131.75,0.494025,31.426086
2024-01-01,-9.416664,131.83334,0.494025,31.433529
2024-01-01,-9.416664,131.91669,0.494025,31.448235
2024-01-01,-9.416664,132.0,0.494025,31.446003
2024-01-01,-9.416664,132.08334,0.494025,31.403536
2024-01-01,-9.416664,132.16669,0.494025,31.35844
2024-01-01,-9.416664,132.25,0.494025,31.313515
2024-01-01,-9.416664,132.33334,0.494025,31.330988
2024-01-01,-9.416664,132.41669,0.494025,31.35086
2024-01-01,-9.416664,132.5,0.494025,31.343447
2024-01-01,-9.416664,132.58334,0.494025,31.3589
2024-01-01,-9.416664,132.66669,0.494025,31.376328
2024-01-01,-9.416664,132.75,0.494025,31.383894
2024-01-01,-9.416664,132.83334,0.494025,31.383202
2024-01-01,-9.416664,132.91669,0.494025,31.391335
2024-01-01,-9.416664,133.0,0.494025,31.39105
2024-01-01,-9.416664,133.08334,0.494025,31.410238
2024-01-01,-9.416664,133.16669,0.494025,31.413107
2024-01-01,-9.416664,133.25,0.494025,31.400827
2024-01-01,-9.416664,133.33334,0.494025,31.404318
2024-01-01,-9.416664,133.41669,0.494025,31.438059
2024-01-01,-9.416664,133.5,0.494025,31.434504
2024-01-01,-9.333328,122.5,0.494025,30.520576
2024-01-01,-9.333328,122.58334,0.494025,30.48162
2024-01-01,-9.333328,122.66669,0.494025,30.440355
2024-01-01,-9.333328,122.75,0.494025,30.413416
2024-01-01,-9.333328,122.83334,0.494025,30.369366
2024-01-01,-9.333328,122.91669,0.494025,30.297262
2024-01-01,-9.333328,123.0,0.494025,30.192472
2024-01-01,-9.333328,123.08334,0.494025,30.088055
2024-01-01,-9.333328,123.16669,0.494025,30.10065
2024-01-01,-9.333328,123.25,0.494025,30.231981
2024-01-01,-9.333328,123.33334,0.494025,30.390938
2024-01-01,-9.333328,123.41669,0.494025,30.459057
2024-01-01,-9.333328,123.5,0.494025,30.462744
2024-01-01,-9.333328,123.58334,0.494025,30.604273
2024-01-01,-9.333328,123.66669,0.494025,30.75069
2024-01-01,-9.333328,123.75,0.494025,30.75577
2024-01-01,-9.333328,123.83334,0.494025,30.708487
2024-01-01,-9.333328,123.91669,0.494025,30.63159
2024-01-01,-9.333328,124.0,0.494025,30.514332
2024-01-01,-9.333328,124.08334,0.494025,30.493547
2024-01-01,-9.333328,124.16669,0.494025,30.46934
2024-01-01,-9.333328,125.33334,0.494025,31.943192
2024-01-01,-9.333328,125.41669,0.494025,31.34759
2024-01-01,-9.333328,125.5,0.494025,31.372747
2024-01-01,-9.333328,125.58334,0.494025,31.432636
2024-01-01,-9.333328,125.66669,0.494025,31.410213
2024-01-01,-9.333328,125.75,0.494025,31.247137
2024-01-01,-9.333328,125.83334,0.494025,31.27547
2024-01-01,-9.333328,125.91669,0.494025,31.19256
2024-01-01,-9.333328,126.0,0.494025,31.236626
2024-01-01,-9.333328,126.08334,0.494025,31.291904
2024-01-01,-9.333328,126.16669,0.494025,31.277967
2024-01-01,-9.333328,126.25,0.494025,31.316853
2024-01-01,-9.333328,126.33334,0.494025,31.262445
2024-01-01,-9.333328,126.41669,0.494025,31.328835
2024-01-01,-9.333328,126.5,0.494025,31.32143
2024-01-01,-9.333328,126.58334,0.494025,31.344881
2024-01-01,-9.333328,126.66669,0.494025,31.35736
2024-01-01,-9.333328,126.75,0.494025,31.294735
2024-01-01,-9.333328,126.83334,0.494025,31.288464
2024-01-01,-9.333328,126.91669,0.494025,31.249586
2024-01-01,-9.333328,127.0,0.494025,31.238146
2024-01-01,-9.333328,127.08334,0.494025,31.249712
2024-01-01,-9.333328,127.16669,0.494025,31.233723
2024-01-01,-9.333328,127.25,0.494025,31.236904
2024-01-01,-9.333328,127.33334,0.494025,31.235323
2024-01-01,-9.333328,127.41669,0.494025,31.231491
2024-01-01,-9.333328,127.5,0.494025,31.239737
2024-01-01,-9.333328,127.58334,0.494025,31.270903
2024-01-01,-9.333328,127.66669,0.494025,31.3056
2024-01-01,-9.333328,127.75,0.494025,31.302197
2024-01-01,-9.333328,127.83334,0.494025,31.278952
2024-01-01,-9.333328,127.91669,0.494025,31.26777
2024-01-01,-9.333328,128.0,0.494025,31.261683
2024-01-01,-9.333328,128.08334,0.494025,31.237955
2024-01-01,-9.333328,128.16669,0.494025,31.206888
2024-01-01,-9.333328,128.25,0.494025,31.195442
2024-01-01,-9.333328,128.33334,0.494025,31.176643
2024-01-01,-9.333328,128.41669,0.494025,31.15407
2024-01-01,-9.333328,128.5,0.494025,31.166653
2024-01-01,-9.333328,128.58334,0.494025,31.19343
2024-01-01,-9.333328,128.66669,0.494025,31.196507
2024-01-01,-9.333328,128.75,0.494025,31.19476
2024-01-01,-9.333328,128.83334,0.494025,31.23212
2024-01-01,-9.333328,128.91669,0.494025,31.256222
2024-01-01,-9.333328,129.0,0.494025,31.262226
2024-01-01,-9.333328,129.08334,0.494025,31.291986
2024-01-01,-9.333328,129.16669,0.494025,31.32575
2024-01-01,-9.333328,129.25,0.494025,31.34568
2024-01-01,-9.333328,129.33334,0.494025,31.369793
2024-01-01,-9.333328,129.41669,0.494025,31.383883
2024-01-01,-9.333328,129.5,0.494025,31.377686
2024-01-01,-9.333328,129.58334,0.494025,31.38568
2024-01-01,-9.333328,129.66669,0.494025,31.412214
2024-01-01,-9.333328,129.75,0.494025,31.418936
2024-01-01,-9.333328,129.83334,0.494025,31.410398
2024-01-01,-9.333328,129.91669,0.494025,31.420504
2024-01-01,-9.333328,130.0,0.494025,31.441988
2024-01-01,-9.333328,130.08334,0.494025,31.43649
2024-01-01,-9.333328,130.16669,0.494025,31.439482
2024-01-01,-9.333328,130.25,0.494025,31.455793
2024-01-01,-9.333328,130.33334,0.494025,31.464115
2024-01-01,-9.333328,130.41669,0.494025,31.470024
2024-01-01,-9.333328,130.5,0.494025,31.485683
2024-01-01,-9.333328,130.58334,0.494025,31.494143
2024-01-01,-9.333328,130.66669,0.494025,31.47666
2024-01-01,-9.333328,130.75,0.494025,31.46676
2024-01-01,-9.333328,130.83334,0.494025,31.462635
2024-01-01,-9.333328,130.91669,0.494025,31.458096
2024-01-01,-9.333328,131.0,0.494025,31.45713
2024-01-01,-9.333328,131.08334,0.494025,31.471333
2024-01-01,-9.333328,131.16669,0.494025,31.487028
2024-01-01,-9.333328,131.25,0.494025,31.476326
2024-01-01,-9.333328,131.33334,0.494025,31.451962
2024-01-01,-9.333328,131.41669,0.494025,31.444529
2024-01-01,-9.333328,131.5,0.494025,31.431046
2024-01-01,-9.333328,131.58334,0.494025,31.434368
2024-01-01,-9.333328,131.66669,0.494025,31.42249
