time,latitude,longitude,depth,thetao
2023-01-01,-9.5,122.5,0.494025,29.013672284781933
2023-01-01,-9.5,122.583336,0.494025,28.994628734886646
2023-01-01,-9.5,122.666664,0.494025,29.038575388491154
2023-01-01,-9.5,122.75,0.494025,29.2128971144557
2023-01-01,-9.5,122.833336,0.494025,29.43336282670498
2023-01-01,-9.5,122.916664,0.494025,29.618671216070652
2023-01-01,-9.5,123.0,0.494025,29.719016075134277
2023-01-01,-9.5,123.083336,0.494025,29.787133388221264
2023-01-01,-9.5,123.166664,0.494025,29.809106715023518
2023-01-01,-9.5,123.25,0.494025,29.794457830488682
2023-01-01,-9.5,123.333336,0.494025,29.790795609354973
2023-01-01,-9.5,123.416664,0.494025,29.80617693811655
2023-01-01,-9.5,123.5,0.494025,29.76955472677946
2023-01-01,-9.5,123.583336,0.494025,29.542497016489506
2023-01-01,-9.5,123.666664,0.494025,29.309579752385616
2023-01-01,-9.5,123.75,0.494025,29.171147793531418
2023-01-01,-9.5,123.833336,0.494025,29.193853564560413
2023-01-01,-9.5,125.0,0.494025,30.217810593545437
2023-01-01,-9.5,125.083336,0.494025,30.229529701173306
2023-01-01,-9.5,125.166664,0.494025,30.217078149318695
2023-01-01,-9.5,125.25,0.494025,30.21048615127802
2023-01-01,-9.5,125.333336,0.494025,30.214148372411728
2023-01-01,-9.5,125.416664,0.494025,30.221472814679146
2023-01-01,-9.5,125.5,0.494025,30.203894153237343
2023-01-01,-9.5,125.583336,0.494025,30.187780380249023
2023-01-01,-9.5,125.666664,0.494025,30.18631549179554
2023-01-01,-9.5,125.75,0.494025,30.2031617090106
2023-01-01,-9.5,125.833336,0.494025,30.206091485917568
2023-01-01,-9.5,125.916664,0.494025,30.176061272621155
2023-01-01,-9.5,126.0,0.494025,30.098422184586525
2023-01-01,-9.5,126.083336,0.494025,29.99075288325548
2023-01-01,-9.5,126.166664,0.494025,29.87575913965702
2023-01-01,-9.5,126.25,0.494025,29.779808945953846
2023-01-01,-9.5,126.333336,0.494025,29.721945852041245
2023-01-01,-9.5,126.416664,0.494025,29.693380527198315
2023-01-01,-9.5,126.5,0.494025,29.69118319451809
2023-01-01,-9.5,126.583336,0.494025,29.705832079052925
2023-01-01,-9.5,126.666664,0.494025,29.73659473657608
2023-01-01,-9.5,126.75,0.494025,29.75637073069811
2023-01-01,-9.5,126.833336,0.494025,29.750511176884174
2023-01-01,-9.5,126.916664,0.494025,29.767357394099236
2023-01-01,-9.5,127.0,0.494025,29.771019615232944
2023-01-01,-9.5,127.083336,0.494025,29.762962728738785
2023-01-01,-9.5,127.166664,0.494025,29.754905842244625
2023-01-01,-9.5,127.25,0.494025,29.760032951831818
2023-01-01,-9.5,127.333336,0.494025,29.755638286471367
2023-01-01,-9.5,127.416664,0.494025,29.749778732657433
2023-01-01,-9.5,127.5,0.494025,29.768089838325977
2023-01-01,-9.5,127.583336,0.494025,29.784203611314297
2023-01-01,-9.5,127.666664,0.494025,29.78566849976778
2023-01-01,-9.5,127.75,0.494025,29.776146724820137
2023-01-01,-9.5,127.833336,0.494025,29.746848955750465
2023-01-01,-9.5,127.916664,0.494025,29.70436719059944
2023-01-01,-9.5,128.0,0.494025,29.672139644622803
2023-01-01,-9.5,128.08333,0.494025,29.640644542872906
2023-01-01,-9.5,128.16667,0.494025,29.633320100605488
2023-01-01,-9.5,128.25,0.494025,29.618671216070652
2023-01-01,-9.5,128.33333,0.494025,29.595233000814915
2023-01-01,-9.5,128.41667,0.494025,29.549089014530182
2023-01-01,-9.5,128.5,0.494025,29.53151035308838
2023-01-01,-9.5,128.58333,0.494025,29.512466803193092
2023-01-01,-9.5,128.66667,0.494025,29.412121944129467
2023-01-01,-9.5,128.75,0.494025,29.390148617327213
2023-01-01,-9.5,128.83333,0.494025,29.40113528072834
2023-01-01,-9.5,128.91667,0.494025,29.43848993629217
2023-01-01,-9.5,129.0,0.494025,29.47950681298971
2023-01-01,-9.5,129.08333,0.494025,29.475844591856003
2023-01-01,-9.5,129.16667,0.494025,29.469252593815327
2023-01-01,-9.5,129.25,0.494025,29.48756369948387
2023-01-01,-9.5,129.33333,0.494025,29.50294502824545
2023-01-01,-9.5,129.41667,0.494025,29.509537026286125
2023-01-01,-9.5,129.5,0.494025,29.5161290243268
2023-01-01,-9.5,129.58333,0.494025,29.52784813195467
2023-01-01,-9.5,129.66667,0.494025,29.5476241260767
2023-01-01,-9.5,129.75,0.494025,29.57252722978592
2023-01-01,-9.5,129.83333,0.494025,29.595965445041656
2023-01-01,-9.5,129.91667,0.494025,29.620868548750877
2023-01-01,-9.5,130.0,0.494025,29.643574319779873
2023-01-01,-9.5,130.08333,0.494025,29.659688092768192
2023-01-01,-9.5,130.16667,0.494025,29.67580186575651
2023-01-01,-9.5,130.25,0.494025,29.69557785987854
2023-01-01,-9.5,130.33333,0.494025,29.72048096358776
2023-01-01,-9.5,130.41667,0.494025,29.7439191788435
2023-01-01,-9.5,130.5,0.494025,29.754905842244625
2023-01-01,-9.5,130.58333,0.494025,29.758568063378334
2023-01-01,-9.5,130.66667,0.494025,29.76076539605856
2023-01-01,-9.5,130.75,0.494025,29.762230284512043
2023-01-01,-9.5,130.83333,0.494025,29.76076539605856
2023-01-01,-9.5,130.91667,0.494025,29.75344095379114
2023-01-01,-9.5,131.0,0.494025,29.738059625029564
2023-01-01,-9.5,131.08333,0.494025,29.70729696750641
2023-01-01,-9.5,131.16667,0.494025,29.664815202355385
2023-01-01,-9.5,131.25,0.494025,29.625263214111328
2023-01-01,-9.5,131.33333,0.494025,29.587908558547497
2023-01-01,-9.5,131.41667,0.494025,29.561540566384792
2023-01-01,-9.5,131.5,0.494025,29.54835657030344
2023-01-01,-9.5,131.58333,0.494025,29.542497016489506
2023-01-01,-9.5,131.66667,0.494025,29.54835657030344
2023-01-01,-9.5,131.75,0.494025,29.569597452878952
2023-01-01,-9.5,131.83333,0.494025,29.586443670094013
2023-01-01,-9.5,131.91667,0.494025,29.578386783599854
2023-01-01,-9.5,132.0,0.494025,29.549821458756924
2023-01-01,-9.5,132.08333,0.494025,29.51979124546051
2023-01-01,-9.5,132.16667,0.494025,29.49122592061758
2023-01-01,-9.5,132.25,0.494025,29.475844591856003
2023-01-01,-9.5,132.33333,0.494025,29.46998503804207
2023-01-01,-9.5,132.41667,0.494025,29.450941488146782
2023-01-01,-9.5,132.5,0.494025,29.428235717117786
2023-01-01,-9.5,132.58333,0.494025,29.420178830623627
2023-01-01,-9.5,132.66667,0.494025,29.419446386396885
2023-01-01,-9.5,132.75,0.494025,29.419446386396885
2023-01-01,-9.5,132.83333,0.494025,29.41724905371666
2023-01-01,-9.5,132.91667,0.494025,29.415784165263176
2023-01-01,-9.5,133.0,0.494025,29.422376163303852
2023-01-01,-9.5,133.08333,0.494025,29.428968161344528
2023-01-01,-9.5,133.16667,0.494025,29.42970060557127
2023-01-01,-9.5,133.25,0.494025,29.428235717117786
2023-01-01,-9.5,133.33333,0.494025,29.430433049798012
2023-01-01,-9.5,133.41667,0.494025,29.428968161344528
2023-01-01,-9.5,133.5,0.494025,29.423841051757336
2023-01-01,-9.416667,122.5,0.494025,29.059083826839924
2023-01-01,-9.416667,122.583336,0.494025,29.03637805581093
2023-01-01,-9.416667,122.666664,0.494025,29.05395671725273
2023-01-01,-9.416667,122.75,0.494025,29.203375339508057
2023-01-01,-9.416667,122.833336,0.494025,29.4179814979434
2023-01-01,-9.416667,122.916664,0.494025,29.648701429367065
2023-01-01,-9.416667,123.0,0.494025,29.780541390180588
2023-01-01,-9.416667,123.083336,0.494025,29.855983145534992
2023-01-01,-9.416667,123.166664,0.494025,29.894802689552307
2023-01-01,-9.416667,123.25,0.494025,29.874294251203537
2023-01-01,-9.416667,123.333336,0.494025,29.844264037907124
2023-01-01,-9.416667,123.416664,0.494025,29.833277374505997
2023-01-01,-9.416667,123.5,0.494025,29.83840448409319
2023-01-01,-9.416667,123.583336,0.494025,29.738792069256306
2023-01-01,-9.416667,123.666664,0.494025,29.463393040001392
2023-01-01,-9.416667,123.75,0.494025,29.31470686197281
2023-01-01,-9.416667,123.833336,0.494025,29.154301576316357
